time0,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7
16:21:13.355395,0.42308970569144166,0.7534245560849594,0.13469218601845334,0.862172335935011,0.980697105785654,0.4952451631282868,0.7031287941266859,0.6836316083244683
16:21:13.361378,0.8841409784646719,0.43167593634540735,0.20821573726681264,0.4996054724087714,0.045856406339854106,0.7139930529453327,0.4680023425723211,0.6506596282603396
16:21:13.363373,0.7583493054944969,0.4728728630145044,0.19688087710310165,0.09258259102933408,0.2657744519930244,0.42297313502427814,0.9223374069603941,0.9063179646364886
16:21:13.366365,0.3610266171598998,0.7218421556687515,0.6998300494256865,0.12110460381357346,0.04654303445575514,0.6161123703789857,0.85944974852772,0.7955541823738208
16:21:13.368360,0.39998675835320463,0.6953685300586162,0.7695331774221552,0.8185646339691578,0.9118517523621331,0.25741795778903476,0.5553671289201146,0.856439758295854
16:21:13.371353,0.271048242760455,0.05978639460852053,0.765374759035037,0.7565675086715085,0.9911667141002437,0.5399734009473769,0.3273684269531689,0.6865713227731084
16:21:13.373346,0.8981751832578153,0.9496663388135996,0.5093028696983494,0.5431236642411796,0.5947360548114954,0.08413501799318313,0.5303072141401435,0.09518424689244931
16:21:13.376339,0.5728006936363526,0.7822523190515421,0.6206983840408821,0.2638856206553719,0.39003303993279936,0.06601149926234096,0.11899471245315629,0.9236416532208308
16:21:13.378333,0.17548381675922575,0.4333711841056599,0.9902793295548543,0.9725527153656494,0.7132576352525364,0.7889534125629126,0.691083234130054,0.9831844408085266
16:21:13.381327,0.5063450057603824,0.33065908966947577,0.14845120664287437,0.12393121133171525,0.8609237042672611,0.8728306128386502,0.40240665393360375,0.0842278243418153
16:21:13.384318,0.9621301730176517,0.8833567461911794,0.4068267408319246,0.5554750319167847,0.7895623075820327,0.5780765541730591,0.42326300713215503,0.3553347489040073
16:21:13.386313,0.23778274975869107,0.4256796986690835,0.5572472525145015,0.738683398507077,0.03227965412173395,0.5961430053783406,0.9563915524526883,0.6502615831693258
